queryID;runtime;load
1;6,2;0.11653051973904
2;0,14;0.0034806816737280
3;2,6;0.04692654274308
4;2,2;0.066570482286000
5;1,3;0.032390718822
6;0,5;0.00924795729360
7;1,8;0.04128932773056
8;0,7;0.017200645128744
9;1,7;0.0425951230506492
10;1,7;0.0348487586836440
11;0,2;0.0042141639043728
12;1,3;0.02071899051192
13;8,1;0.1729977935061600
14;0,4;0.00689814255312
15;0,3;0.0070641154378080
16;1,1;0.0231223397474160
17;1,3;0.0257107635956640
18;1,7;0.036992740104320
19;3,6;0.069447597885666
20;1,2;0.0256859332329600
21;7,6;0.1583322790751520
22;0,7;0.0389783459325608
