queryID;runtime;load
1;6,2;0.14270502243022446960
2;0,14;0.0034319695337041766400
3;2,6;0.0546337581232034592
4;2,2;0.075454379717548986000
5;1,3;0.035184871790461008
6;0,5;0.00968008659405804720
7;1,8;0.04415183424346426368
8;0,7;0.017021827221985577376
9;1,7;0.0425065251947038496640
10;1,7;0.038237800465628379000
11;0,2;0.0043574454771214752
12;1,3;0.01847479233563087328
13;8,1;0.1498524187129708536000
14;0,4;0.00667618791833081088
15;0,3;0.0074784823211589416640
16;1,1;0.0217328258626347828960
17;1,3;0.0237938461942620791520
18;1,7;0.02879218947799434240
19;3,6;0.074789507115031428720
20;1,2;0.0245266756942900492800
21;7,6;0.14891150847018045600
22;0,7;0.0287144158160165273680
