queryID;runtime;load
1;6,2;0.133369179841331280
2;0,14;0.00361259950916229120
3;2,6;0.05574873277877904
4;2,2;0.0705181118855598000
5;1,3;0.0328830577480944
6;0,5;0.008880813389044080
7;1,8;0.045517354890169344
8;0,7;0.0166880659039074288
9;1,7;0.04293588403505439360
10;1,7;0.03476163678693489000
11;0,2;0.003961314070110432
12;1,3;0.019865368102828896
13;8,1;0.15773938811891668800
14;0,4;0.007102327572692352
15;0,3;0.00698923581416723520
16;1,1;0.02312002751344125840
17;1,3;0.02558478085404524640
18;1,7;0.0319913216422159360
19;3,6;0.0686142267110380080
20;1,2;0.02292212681709350400
21;7,6;0.14891150847018045600
22;0,7;0.03951446055701619240
