queryID;runtime;load
1;6,2;0.1223570457259920
2;0,14;0.003376261223516160
3;2,6;0.0506806661625264
4;2,2;0.06590477746314000
5;1,3;0.03498197632776
6;0,5;0.0091554777206640
7;1,8;0.0429409008397824
8;0,7;0.01685663222616912
9;1,7;0.040891318128623232
10;1,7;0.033106320749461800
11;0,2;0.0042141639043728
12;1,3;0.0211333703221584
13;8,1;0.162617925895790400
14;0,4;0.0071740682552448
15;0,3;0.006852191974673760
16;1,1;0.023353563144890160
17;1,3;0.027510517047360480
18;1,7;0.03403332089597440
19;3,6;0.06597521799138270
20;1,2;0.024915355235971200
21;7,6;0.150415665121394400
22;0,7;0.052921622545132668
