queryID;runtime;load
1;6,2;0.158346581083607318988216885982401864
2;0,14;0
3;2,6;0
4;2,2;0.058152019173843909501232712400282016
5;1,3;0.030441955586895206335928035881966211
6;0,5;0
7;1,8;0
8;0,7;0
9;1,7;0.0355398293261211814531255411359263399
10;1,7;0
11;0,2;0.00516
12;1,3;0
13;8,1;0.18750192026868895894471728669600099
14;0,4;0.0085527124884429068103860825361933518
15;0,3;0.00780
16;1,1;0
17;1,3;0.03372
18;1,7;0
19;3,6;0.084175798900418417519630191744796249
20;1,2;0
21;7,6;0.1788791491012257016303346444392808703
22;0,7;0.016089981716420677254981460528833037
