queryID;runtime;load
1;6,2;0.16056
2;0,14;0.0035433572285125096760965455946469429
3;2,6;0
4;2,2;0.058152019173843909501232712400282016
5;1,3;0.03372
6;0,5;0.01296
7;1,8;0.04656
8;0,7;0.016197248261196815103348003599025257
9;1,7;0.039366821932842590350521306760544831
10;1,7;0
11;0,2;0.00516
12;1,3;0.03372
13;8,1;0.18750192026868895894471728669600099
14;0,4;0.01083482889412315949376
15;0,3;0.0069723254104489601438252995624943161
16;1,1;0.025422171111944670062870707635556199
17;1,3;0.035478655653705674846296607634904954
18;1,7;0
19;3,6;0.09324
20;1,2;0.032475177139417390080910069587711449
21;7,6;0.22660939156519886343052131423757371
22;0,7;0.016089981716420677254981460528833037
