queryID;runtime;load
1;6,2;0.16056
2;0,14;0.00360
3;2,6;0.06732
4;2,2;0.05700
5;1,3;0.03372
6;0,5;0.01296
7;1,8;0.04656
8;0,7;0
9;1,7;0
10;1,7;0.04404
11;0,2;0.00516
12;1,3;0.03372
13;8,1;0
14;0,4;0.01032
15;0,3;0.00780
16;1,1;0.02844
17;1,3;0.03372
18;1,7;0.04404
19;3,6;0.09324
20;1,2;0.03108
21;7,6;0.1968
22;0,7;0.01800
