queryID;-;load
1;1;0.002284089731055
2;5.5;0.01541981444972544
3;2;0.00500195443938
4;11;0.0379005417584640
5;4.5;0.012170922843618
6;1;0.00216832296813900
7;2;0.0049938198094512
8;1;0.0026693598443820
9;8;0.02036089037879016
10;2;0.0048233086935084
11;5.5;0.01302503992516224
12;1;0.0022290262987140
13;3;0.00663479976557040
14;10.5;0.02545200004848
15;10.5;0.0275120823286188
16;1;0.00288630165527280
17;4.5;0.01143116430198120
18;5.5;0.0152295363956736
19;3;0.0081031961331244
20;2;0.00444759633045
21;1;0.00282447735272430
22;2;0.004398767681310
23;9;0.02262256959525888
24;12.5;0.025426470220060
25;12.5;0.03252241257255372
26;3.25;0.007348517240064
27;3.25;0.0085761111618440
28;5.5;0.0153815445780480
29;2;0.0052993191735120
30;1;0.00227821198113600
31;4.5;0.0093266628418134
32;5.5;0.0143349410096640
33;1;0.00286515587321280
34;2;0.004234327767990
35;2;0.0063928087914600
36;3;0.00636119977523760
37;2;0.0052621361520768
38;3;0.00816923265253024
39;2;0.0060160646124468
40;2;0.005482450648710
41;3;0.008362334742894
42;4;0.01035458974134585
43;4;0.01116819250125678
44;2;0.0044335799608320
45;0.5;0.00118032318003600
46;1;0.0024093462646935
47;1;0.00238955316818400
48;2;0.00471452730210
49;2;0.00580804147248
50;2;0.0048765733533
51;4.5;0.01069065169387488
52;2;0.0047044616233944
53;3;0.0062177752278756
54;2;0.00514330483644
55;5.5;0.01221964328491776
56;1;0.002238690749760
57;1;0.00246408161516190
58;3;0.006568940944368
59;1;0.002674821225975
60;3;0.0076047189128856
61;3;0.00832489382350080
62;2;0.0043887251228112
63;7;0.024110255351490
64;4.5;0.01109985843133440
65;3;0.008453002258872
66;2;0.006891008327280
67;1;0.00262618413695550
68;19;0.04642103288160
69;2;0.0045604474920660
70;2;0.0047943552380724
71;16;0.0418804377364912
72;2;0.0049373958654720
73;3;0.00807756002149824
74;2;0.0056283209438976
75;2;0.004678748270568
76;25;0.065134910561490
77;1;0.00260316546469200
78;4.5;0.01261075720147872
79;8;0.0230040551797056
80;2;0.0047393506292664
81;3;0.00859478332803120
82;5.5;0.01288919330270208
83;2;0.004962660318
84;7;0.01678853618997984
85;1;0.00274624967265840
86;3;0.00766433159620128
87;2;0.00614522820528
88;1;0.0023651380763505
89;5.5;0.01280618550973443
90;1;0.0025142802900075
91;2;0.0047429663840856
92;8;0.0195113738593872
93;1;0.00229819602395520
94;1;0.00245897516966400
95;2;0.0047287984032
96;1;0.00182587444455780
97;2;0.00468858151958400
98;3;0.0073941603525504
99;10;0.02529685976002560
100;2;0.00511381893471316
101;3;0.0063197951414400
102;1;0.00207495708836130
103;2;0.00541841483700000
