queryID;-;load
1;1;0.002232736785
2;5.5;0.0145841430528
3;2;0.005321228127
4;11;0.033421994496
5;4.5;0.0124193090241
6;1;0.0022838876850
7;2;0.004899744711
8;1;0.0025815859230
9;8;0.0223304347212
10;2;0.004847059284
11;5.5;0.0132126596928
12;1;0.002163683070
13;3;0.0067058821160
14;10.5;0.0273913044
15;10.5;0.026851534578
16;1;0.0029278775160
17;4.5;0.0102705878724
18;5.5;0.014080562496
19;3;0.0072936058804
20;2;0.0046547319
21;1;0.0029007675390
22;2;0.00492583167
23;9;0.0220235295904
24;12.5;0.02941176428
25;12.5;0.0328708435138
26;3.25;0.00877749312
27;3.25;0.008607096710
28;5.5;0.014699488320
29;2;0.004762148790
30;1;0.0022352943300
31;4.5;0.009736572546
32;5.5;0.0122941175040
33;1;0.0026762150880
34;2;0.00437340195
35;2;0.005585678280
36;3;0.0074347823460
37;2;0.005321739636
38;3;0.0072705879784
39;2;0.006021483948
40;2;0.005801535078
41;3;0.00774936034
42;4;0.0114936061065
43;4;0.0102291559821
44;2;0.004714066944
45;0.5;0.0012218666460
46;1;0.002278772595
47;1;0.0024736575240
48;2;0.00451150938
49;2;0.005584655262
50;2;0.00492583167
51;4.5;0.0104892579414
52;2;0.004611765144
53;3;0.006491048364
54;2;0.0054219954
55;5.5;0.0141283885824
56;1;0.00248081865
57;1;0.0025450130295
58;3;0.006352940952
59;1;0.00242966775
60;3;0.0085350380616
61;3;0.0083785163280
62;2;0.004376471004
63;7;0.02166240373
64;4.5;0.0101647055232
65;3;0.00828644472
66;2;0.00607672692
67;1;0.0024053710725
68;19;0.0466496160
69;2;0.004752941628
70;2;0.004747826538
71;16;0.045462915476
72;2;0.005303325312
73;3;0.0072613808176
74;2;0.005057800992
75;2;0.005530435308
76;25;0.06329923281
77;1;0.0025268544600
78;4.5;0.0112235290152
79;8;0.0201084398424
80;2;0.004712020908
81;3;0.0083769818012
82;5.5;0.0150680305152
83;2;0.004962660318
84;7;0.0184327362648
85;1;0.0029554990020
86;3;0.0074439895068
87;2;0.0055242972
88;1;0.002462915835
89;5.5;0.0141959710783
90;1;0.002416880025
91;2;0.004760102754
92;8;0.019519181532
93;1;0.0019887469920
94;1;0.0022097188800
95;2;0.0049104864
96;1;0.0018751919940
97;2;0.0047416884300
98;3;0.007181585424
99;10;0.0248593354560
100;2;0.0063432238540
101;3;0.0073145777100
102;1;0.0025319695500
103;2;0.0056265990000
