queryID;-;load
1;1;0.00210136255257060
2;5.5;0.0151114181607309312
3;2;0.0045517785398358
4;11;0.038279547176048640
5;4.5;0.01326630589954362
6;1;0.0021900061978203900
7;2;0.0049938198094512
8;1;0.002856215033488740
9;8;0.0221933705128812744
10;2;0.004582143258832980
11;5.5;0.0127645391266589952
12;1;0.00200612366884260
13;3;0.0072319317444717360
14;10.5;0.0231613200441168
15;10.5;0.028062323975191176
16;1;0.0027419865725091600
17;4.5;0.0112025410159415760
18;5.5;0.014468059575889920
19;3;0.007535972403805692
20;2;0.0042696924772320
21;1;0.0026550087115608420
22;2;0.00448674303493620
23;9;0.0221701182033537024
24;12.5;0.02339235260245520
25;12.5;0.0331728608240047944
26;3.25;0.00690760620566016
27;3.25;0.00771850004565960
28;5.5;0.01691969903585280
29;2;0.005193332790041760
30;1;0.0024376868198155200
31;4.5;0.010072795869158472
32;5.5;0.0143349410096640
33;1;0.00286515587321280
34;2;0.00440370087870960
35;2;0.005817456000228600
36;3;0.0069337077550089840
37;2;0.005104272067514496
38;3;0.0080875403260049376
39;2;0.00541445815120212
40;2;0.0060306957135810
41;3;0.00903132152232552
42;4;0.0107687733309996840
43;4;0.010051373251131102
44;2;0.004344908361615360
45;0.5;0.0010858973256331200
46;1;0.002288878951458825
47;1;0.0025329263582750400
48;2;0.0044316556639740
49;2;0.0055757198135808
50;2;0.004486447485036
51;4.5;0.0115459038293848704
52;2;0.004892640088330176
53;3;0.006404308484711868
54;2;0.0048861395946180
55;5.5;0.0112420718221243392
56;1;0.0020148216747840
57;1;0.002217673453645710
58;3;0.00610911507826224
59;1;0.00251433195241650
60;3;0.007832860480272168
61;3;0.0079918980705607680
62;2;0.00394985261053008
63;7;0.02435135790500490
64;4.5;0.0107668626783943680
65;3;0.00870659232663816
66;2;0.00709773857709840
67;1;0.0024160894059990600
68;19;0.04642103288160
69;2;0.004788469866669300
70;2;0.005177903657118192
71;16;0.043555655245950848
72;2;0.005233639617400320
73;3;0.0079967844212832576
74;2;0.005966020200531456
75;2;0.00481911071868504
76;25;0.05992411771657080
77;1;0.0028114187018673600
78;4.5;0.0131151874895378688
79;8;0.023924217386893824
80;2;0.005165892185900376
81;3;0.0084228876614705760
82;5.5;0.0132758691017831424
83;2;0.00511154012754
84;7;0.0154454532947814528
85;1;0.0029384871497444880
86;3;0.0080475481760113440
87;2;0.0063295850514384
88;1;0.002507046360931530
89;5.5;0.0133184329301238072
90;1;0.002489137487107425
91;2;0.005074974030971592
92;8;0.018926032643605584
93;1;0.0025050336661111680
94;1;0.0022622571560908800
95;2;0.004586934451104
96;1;0.0018989094223401120
97;2;0.0044072666284089600
98;3;0.0081253118943383524
99;10;0.0278265457360281600
100;2;0.0055229244494902128
101;3;0.00695177465558400
102;1;0.0023847291758916932
103;2;0.0059602563207000000
